wals code	name	latitude	longitude	genus	family	subfamily	iso codes
tni	Tinani	32.3333333333	77.1666666667	Bodic	Sino-Tibetan	Tibeto-Burman	lbf
tnj	Tanaina	62	-150	Athapaskan	Na-Dene		tfn
tnk	Tungak	-2.55	150.25	Oceanic	Austronesian	Eastern Malayo-Polynesian	lcm
tnl	Tanana (Lower)	65	-150	Athapaskan	Na-Dene		taa
tnn	Tunen	4.75	10.6666666667	Bantoid	Niger-Congo	Benue-Congo	baz
tno	Tondano	1.25	125	Sulawesi	Austronesian	Western Malayo-Polynesian	tdn
tns	Tanna (Southwest)	-19.5666666667	169.333333333	Oceanic	Austronesian	Eastern Malayo-Polynesian	nwi
tnt	Tontemboan	1.08333333333	124.5	Sulawesi	Austronesian	Western Malayo-Polynesian	tnt
tny	Tenyer	10.6666666667	-4.5	Gur	Niger-Congo		kza
toa	Toaripi	-8.33333333333	146.25	Eleman Proper	Eleman		tqo
tob	Toba	-26.5	-59	Guaicuruan	Guaicuruan		tob
tod	Tod	32.4166666667	77.25	Bodic	Sino-Tibetan	Tibeto-Burman	sbu
tof	Tofa	53.75	98	Turkic	Altaic		kim
toj	Tojolabal	16.3333333333	-91.5	Mayan	Mayan		toj
tok	Tarok	9	10.0833333333	Platoid	Niger-Congo	Benue-Congo	yer
tol	Tol	14.6666666667	-87	Tol	Tol		jic
ton	Tonkawa	30.25	-96.75	Tonkawa	Tonkawa		tqw
toq	Toqabaqita	-8.41666666667	160.583333333	Oceanic	Austronesian	Eastern Malayo-Polynesian	mlu
tor	Toratán	1.08333333333	124.833333333	Sulawesi	Austronesian	Western Malayo-Polynesian	rth
tos	Totonac (Sierra)	19.9166666667	-97.4166666667	Totonacan	Totonacan		tos
tot	Totonac (Misantla)	19.9166666667	-96.9166666667	Totonacan	Totonacan		tlc
tou	Toussian	11	-4.66666666667	Gur	Niger-Congo		tsp wib
tow	Toussian (Win)	10.8333333333	-4.66666666667	Gur	Niger-Congo		wib
toy	Tasmanian (Oyster Bay to Pitwater)	-42.5	147.75	Tasmanian	Tasmanian		
toz	Tonga (in Zambia)	-17	27	Bantoid	Niger-Congo	Benue-Congo	toi
tpa	Totonac (Papantla)	20.3333333333	-97.3333333333	Totonacan	Totonacan		top
tpc	Tepecano	21.75	-104.75	Tepiman	Uto-Aztecan		tep
tpi	Tok Pisin	-9.5	147.166666667	Creoles and Pidgins	other		tpi
tpn	Tepehuan (Northern)	26.3333333333	-107	Tepiman	Uto-Aztecan		ntp
tpr	Tupuri	10.1666666667	14.75	Adamawa	Niger-Congo	Adamawa-Ubangi	tui
tps	Tepehuan (Southeastern)	23	-104.5	Tepiman	Uto-Aztecan		stp
tpt	Tapieté	-19.75	-61.6666666667	Tupi-Guaraní	Tupian		tpj
trb	Teribe	9.33333333333	-82.6666666667	Talamanca	Chibchan		tfr
trc	Trique (Chicahuaxtla)	17.1666666667	-97.8333333333	Mixtecan	Oto-Manguean		trs
trd	Toraja	-3	119.75	Sulawesi	Austronesian	Western Malayo-Polynesian	sda
trg	Tewa (Rio Grande)	36.25	-106.166666667	Kiowa-Tanoan	Kiowa-Tanoan		tew
tri	Trique (Copala)	17.1666666667	-97.9166666667	Mixtecan	Oto-Manguean		trc
trm	Tirmaga	5.75	35.25	Surmic	Nilo-Saharan	Eastern Sudanic	suq
trn	Terêna	-20	-56	Arawakan	Arawakan		ter
trr	Tairora	-6.5	146	Eastern Highlands	Trans-New Guinea		tbg
trt	Ternate	0.833333333333	127.25	North Halmaheran	West Papuan		tft
tru	Trumai	-11.9166666667	-53.5833333333	Trumai	Trumai		tpy
trw	Torwali	34.25	72	Indic	Indo-European		trw
try	Tiruray	6.75	124.166666667	South Mindanao	Austronesian	Western Malayo-Polynesian	tiy
tsa	Tsakhur	41.6666666667	47.1666666667	Lezgic	Nakh-Daghestanian	Daghestanian	tkr
tse	Timorese	-9.66666666667	124.5	Central Malayo-Polynesian	Austronesian		aoz
tsf	Tsafiki	-1	-79.3333333333	Barbacoan	Barbacoan		cof
tsg	Tausug	6	121	Meso-Philippine	Austronesian	Western Malayo-Polynesian	tsg
tsh	Tümpisa Shoshone	37	-117	Numic	Uto-Aztecan		par
tsi	Tsimshian (Coast)	52.5	-129	Tsimshianic	Penutian		tsi
tsj	Tewa (San Juan Pueblo)	36.0833333333	-106.083333333	Kiowa-Tanoan	Kiowa-Tanoan		tew
tsl	Tanzania Sign Language	-6	35	Sign Languages	other		tza
tsm	Tasmanian	-42.1666666667	146.5	Tasmanian	Tasmanian		
tsn	Tsonga	-24	32	Bantoid	Niger-Congo	Benue-Congo	tso
tso	Tsou	23.5	120.75	Tsouic	Austronesian		tsu
tsp	Tamil (Spoken)	11	78	Southern Dravidian	Dravidian		tam
tsr	Taushiro	-2.5	-76	Taushiro	Taushiro		trr
tst	Tsat	18.25	109.5	Sundic	Austronesian	Western Malayo-Polynesian	huq
tsw	Tswana	-24	26	Bantoid	Niger-Congo	Benue-Congo	tsn
tsz	Tsez	42.25	45.75	Avar-Andic-Tsezic	Nakh-Daghestanian	Daghestanian	ddo
ttb	Tatar (Baraba)	55.3333333333	78.3333333333	Turkic	Altaic		tat
tte	Tutelo	37.6666666667	-78.75	Siouan	Siouan		tta
ttn	Tetun	-9	126	Central Malayo-Polynesian	Austronesian		tet
tts	Tati (Southern)	36	49.6666666667	Iranian	Indo-European		tks
ttu	Tsova-Tush	42.5	45.5	Nakh	Nakh-Daghestanian		bbl
tty	Tatuyo	0.416666666667	-70.5	Tucanoan	Tucanoan		tav
tua	Tuamotuan	-17	-144	Oceanic	Austronesian	Eastern Malayo-Polynesian	pmt
tub	Tubar	27	-108	Tubar	Uto-Aztecan		tbu
tuc	Tucano	0.5	-69.1666666667	Tucanoan	Tucanoan		tuo
tug	Tuareg (Ahaggar)	23	6	Berber	Afro-Asiatic		thv
tui	Türk Isaret Dili	39	34	Sign Languages	other		tsm
tuk	Tukang Besi	-5.5	123.5	Sulawesi	Austronesian	Western Malayo-Polynesian	bhq khc
tul	Tulu	12.75	75.3333333333	Southern Dravidian	Dravidian		tcy
tum	Tumleo	-3.08333333333	142.416666667	Oceanic	Austronesian	Eastern Malayo-Polynesian	tmq
tun	Tunica	32.6666666667	-91	Tunica	Tunica		tun
tup	Tupi	-6	-36	Tupi-Guaraní	Tupian		
tur	Turkish	39	35	Turkic	Altaic		tur
tus	Tuscarora	36	-77.5	Northern Iroquoian	Iroquoian		tus
tut	Tutchone (Northern)	63	-137	Athapaskan	Na-Dene		ttm
tuv	Tuvan	52	95	Turkic	Altaic		tyv
tuy	Tuyuca	0.5	-70.0833333333	Tucanoan	Tucanoan		tue
tvl	Tuvaluan	-8.5	179.166666667	Oceanic	Austronesian	Eastern Malayo-Polynesian	tvl
tvo	Tatar	56	49.5	Turkic	Altaic		tat
twa	Twana	47.6666666667	-122.75	Central Salish	Salishan		twa
twe	Tarahumara (Western)	27.5	-108	Tarahumaran	Uto-Aztecan		tac
twn	Tiwa (Northern)	36.5	-105.5	Kiowa-Tanoan	Kiowa-Tanoan		twf
tws	Tiwa (Southern)	35	-106.333333333	Kiowa-Tanoan	Kiowa-Tanoan		tix
twx	Turkic (West Xorasan)	36.6666666667	56	Turkic	Altaic		kmz
txj	Totonac (Xicotepec de Juárez)	20.4166666667	-97.8333333333	Totonacan	Totonacan		too
tye	Tyeraity	-13	130.333333333	Northern Daly	Australian	Daly	woa
tza	Tzeltal (Aguacatenango)	16.4166666667	-92.5	Mayan	Mayan		tzh
tzb	Tzeltal (Bachajón)	16.9166666667	-92	Mayan	Mayan		tzb
tze	Tzeltal	16.8333333333	-92.25	Mayan	Mayan		tzb tzh
tzi	Taiwanese Sign Language (Ziran Shouyu)	24	121	Sign Languages	other		tss
tzo	Tzotzil	16.5	-92.6666666667	Mayan	Mayan		tzc
tzs	Tzotzil (San Andrés)	17	-92.8333333333	Mayan	Mayan		tzs
tzt	Tzeltal (Tenejapa)	16.6666666667	-92.3333333333	Mayan	Mayan		tzh
tzu	Tzutujil	14.6666666667	-91.3333333333	Mayan	Mayan		tzj tzt
tzz	Tzotzil (Zinacantán)	16.8333333333	-92.8333333333	Mayan	Mayan		tzz
uby	Ubykh	43.6666666667	39.6666666667	Northwest Caucasian	Northwest Caucasian		uby
udh	Udihe	47.6666666667	136.25	Tungusic	Altaic		ude
udi	Udi	41	48	Lezgic	Nakh-Daghestanian	Daghestanian	udi
udm	Udmurt	57.5	52.5	Finnic	Uralic	Finno-Ugric	udm
ugs	Ugandan Sign Language	1	32.5	Sign Languages	other		ugn
uhi	Uradhi	-11.9166666667	142.416666667	Pama-Nyungan	Australian		urf
ukr	Ukrainian	49	33	Slavic	Indo-European		ukr
uku	Upper Kuskokwim	63	-157	Athapaskan	Na-Dene		kuu
ulc	Ulcha	52.25	140.333333333	Tungusic	Altaic		ulc
uld	Uldeme	10.95	14.1166666667	Biu-Mandara	Afro-Asiatic	Chadic	udl
uli	Ulithian	9.91666666667	139.583333333	Oceanic	Austronesian	Eastern Malayo-Polynesian	uli
uma	Uma	-1.83333333333	120	Sulawesi	Austronesian	Western Malayo-Polynesian	ppk
umb	UMbundu	-12.5	15	Bantoid	Niger-Congo	Benue-Congo	umb
umu	Umaua	1	-72	Cariban	Cariban		cbd
una	Una	-4.66666666667	140	Mek	Trans-New Guinea		mtg
ung	Ungarinjin	-16.3333333333	126	Wororan	Australian		ung
unm	Unami	40	-75.1666666667	Algonquian	Algic		unm
ura	Ura	-18.6666666667	169.083333333	Oceanic	Austronesian	Eastern Malayo-Polynesian	uur
urd	Urdu	25	67	Indic	Indo-European		urd
urh	Urhobo	5.58333333333	6	Edoid	Niger-Congo	Benue-Congo	urh
uri	Urim	-3.58333333333	142.666666667	Urim	Torricelli		uri
urk	Urubú-Kaapor	-2.33333333333	-46.5	Tupi-Guaraní	Tupian		urb
url	Urak Lawoi'	8	98.3333333333	Sundic	Austronesian	Western Malayo-Polynesian	urk
urm	Urum	47.1166666667	37.55	Turkic	Altaic		uum
urn	Urarina	-4	-75	Urarina	Urarina		ura
uru	Uru	-16.75	-69	Uru-Chipaya	Uru-Chipaya		ure
usa	Usan	-4.83333333333	145.166666667	Madang	Trans-New Guinea		wnu
usl	Urubú Sign Language	-2.33333333333	-46	Sign Languages	other		uks
usr	Usarufa	-6.41666666667	145.583333333	Eastern Highlands	Trans-New Guinea		usa
ute	Ute	39	-109	Numic	Uto-Aztecan		ute
uyg	Uyghur	40	80	Turkic	Altaic		uig
uzb	Uzbek	39	66	Turkic	Altaic		uzn uzs
uzn	Uzbek (Northern)	40.6666666667	66.5	Turkic	Altaic		uzn
vaf	Vafsi	34.6666666667	49.9166666667	Iranian	Indo-European		vaf
vag	Vagla	9.41666666667	-2.41666666667	Gur	Niger-Congo		vag
vai	Vai	6.91666666667	-11.25	Western Mande	Niger-Congo	Mande	vai
vas	Vasavi	24.5	71.5	Indic	Indo-European		vas
vat	Vata	5.83333333333	-5.41666666667	Kru	Niger-Congo		dic
ved	Vedda	7	81	Indic	Indo-European		ved
ven	Venda	-22	30	Bantoid	Niger-Congo	Benue-Congo	ven
vep	Veps	60	35	Finnic	Uralic	Finno-Ugric	vep
vie	Vietnamese	10.5	106.5	Viet-Muong	Austro-Asiatic	Mon-Khmer	vie
vla	Vlaamse Gebarentaal	51	4	Sign Languages	other		bvs
vot	Votic	59.5	30	Finnic	Uralic	Finno-Ugric	vot
wag	Wagiman	-14	131.25	Wagiman	Australian	Gunwinyguan	waq
wah	Wahgi	-5.83333333333	144.716666667	Chimbu	Trans-New Guinea		wgi whg
wai	Wai Wai	1	-59	Cariban	Cariban		waw
wak	Wakhi	36.5	72	Iranian	Indo-European		wbl
wal	Walman	-3.21666666667	142.5	Wapei-Palei	Torricelli		van
wam	Wambaya	-18.6666666667	135.75	West Barkly	Australian		wmb
wan	Wangkumara	-27.3333333333	143	Pama-Nyungan	Australian		nbx
wao	Waorani	-1	-76.5	Waorani	Waorani		auc
wap	Wappo	38.5	-122.5	Wappo	Wappo-Yukian		wao
war	Wari'	-11.3333333333	-65	Chapacura-Wanhan	Chapacura-Wanhan		pav
was	Washo	39.25	-120	Washo	Washo		was
wat	Watjarri	-26	117.5	Pama-Nyungan	Australian		wbv
wau	Waunana	4	-77	Choco	Choco		noa
way	Wayampi	1	-52	Tupi-Guaraní	Tupian		oym oym
wbn	Wambon	-5.5	140.416666667	Awju-Dumut	Trans-New Guinea		wms
wch	Wichí	-22.5	-62.5833333333	Matacoan	Matacoan		mzh
wdo	Western Desert (Ooldea)	-30.5	132	Pama-Nyungan	Australian		
wed	Wedau	-10.1666666667	150.166666667	Oceanic	Austronesian	Eastern Malayo-Polynesian	wed
wel	Welsh	52	-3	Celtic	Indo-European		cym
wem	Wembawemba	-35.3333333333	144	Pama-Nyungan	Australian		
wer	Weri	-7.75	146.916666667	Goilalan	Trans-New Guinea		wer
wet	Wetan	-8.16666666667	128	Central Malayo-Polynesian	Austronesian		lex
wgl	Waigali	35	71.25	Indic	Indo-European		wbk
wgu	Warrungu	-18	145	Pama-Nyungan	Australian		wrg
wic	Wichita	33.3333333333	-97.3333333333	Caddoan	Caddoan		wic
wik	Wikchamni	36.4166666667	-119.083333333	Yokuts	Penutian		yok
win	Wintu	41	-122.5	Wintuan	Penutian		wit
wir	Wirangu	-32	134	Pama-Nyungan	Australian		wiw
wiy	Wiyot	40.8333333333	-124.166666667	Wiyot	Algic		wiy
wlf	Wolof	15.25	-16	Northern Atlantic	Niger-Congo	Atlantic	wol
wll	Wallisian	-13.3	-176.2	Oceanic	Austronesian	Eastern Malayo-Polynesian	wls
wlm	Walmatjari	-19.5	125.75	Pama-Nyungan	Australian		wmt
wlo	Wolio	-5.5	122.75	Sulawesi	Austronesian	Western Malayo-Polynesian	wlo
wlw	Warluwara	-22	138.5	Pama-Nyungan	Australian		wrb
wly	Wolaytta	6.83333333333	37.75	North Omotic	Afro-Asiatic	Omotic	wal
wma	West Makian	0.5	127.583333333	North Halmaheran	West Papuan		mqs
wmn	Wéménugbé	6.66666666667	2.5	Kwa	Niger-Congo		wem
wmu	Wik Munkan	-13.9166666667	141.75	Pama-Nyungan	Australian		wim
wn	Wik Ngathana	-13.9166666667	141.5	Pama-Nyungan	Australian		wig
wnb	Winnebago	43.5	-88.5	Siouan	Siouan		win
wnt	Wantoat	-6.16666666667	146.5	Finisterre-Huon	Trans-New Guinea		wnc
wob	Wobe	7.41666666667	-7.33333333333	Kru	Niger-Congo		wob
wog	Wogamusin	-4.25	142.333333333	Upper Sepik	Sepik		wog
woi	Woisika	-8.25	124.833333333	West Timor-Alor-Pantar	Trans-New Guinea		woi
wol	Woleaian	7.33333333333	143.833333333	Oceanic	Austronesian	Eastern Malayo-Polynesian	woe
wom	Womo	-2.91666666667	141.833333333	Serra Hills	Skou		
wor	Worora	-15.6666666667	124.666666667	Wororan	Australian		unp
wps	Wapishana	2.66666666667	-60	Arawakan	Arawakan		wap
wra	Warao	9.33333333333	-61.6666666667	Warao	Warao		wba
wrb	Warrnambool	-38.25	142.5	Pama-Nyungan	Australian		
wrd	Wardaman	-15.5	131	Yangmanic	Australian	Gunwinyguan	wrr
wrg	Warrgamay	-18.5833333333	146.083333333	Pama-Nyungan	Australian		wgy
wrk	Warekena	1.5	-67.5	Arawakan	Arawakan		gae
wrl	Warlpiri	-20	132.333333333	Pama-Nyungan	Australian		wbp
wrm	Warembori	-1.66666666667	137.583333333	Lower Mamberamo	Lower Mamberamo		wsa
wrn	Warndarang	-14.4166666667	135.583333333	Maran	Australian		wnd
wrp	Waropen	-2.33333333333	136.583333333	South Halmahera - West New Guinea	Austronesian	Eastern Malayo-Polynesian	wrp
wrs	Waris	-3.16666666667	141	Border	Border		wrs
wrw	Warrwa	-17.5	123.5	Nyulnyulan	Australian		wwr
wry	Waray (in Australia)	-13.1666666667	131.25	Waray	Australian	Gunwinyguan	wrz
wsk	Waskia	-4.5	146	Madang	Trans-New Guinea		wsk
wth	Wathawurrung	-38	144	Pama-Nyungan	Australian		
wtm	Watam	-3.91666666667	144.5	Lower Ramu	Lower Sepik-Ramu		wax
wuc	Wu (Changzhou)	31.6666666667	119.916666667	Chinese	Sino-Tibetan		wuu
wur	Waurá	-13	-53	Arawakan	Arawakan		wau
wwr	Woiwurrung	-37.5	145.5	Pama-Nyungan	Australian		
wwy	Waray-Waray	12	125	Meso-Philippine	Austronesian	Western Malayo-Polynesian	war
wya	Wyandot	44.3333333333	-77.5	Northern Iroquoian	Iroquoian		wya
wyn	Wayana	3.25	-54.1666666667	Cariban	Cariban		way
xam	/Xam	-31	21	Southern Khoisan	Khoisan		xam
xar	Xârâcùù	-21.6666666667	166	Oceanic	Austronesian	Eastern Malayo-Polynesian	ane
xas	Xasonga	14.25	-10.5	Western Mande	Niger-Congo	Mande	kao
xav	Xavánte	-15	-52.5	Ge-Kaingang	Macro-Ge		xav
xer	Xerénte	-10	-48.1666666667	Ge-Kaingang	Macro-Ge		xer
xho	Xhosa	-32	27	Bantoid	Niger-Congo	Benue-Congo	xho
xia	Xiamen	24.5	118.166666667	Chinese	Sino-Tibetan		nan
xok	Xokleng	-24.5	-50	Ge-Kaingang	Macro-Ge		xok
xoo	!Xóõ	-24	21.5	Southern Khoisan	Khoisan		nmn
xun	!Xun (Ekoka)	-19.6666666667	18	Northern Khoisan	Khoisan		knw
yag	Yagua	-3.5	-72	Peba-Yaguan	Peba-Yaguan		yad
yah	Yahgan	-55	-68	Yámana	Yámana		yag
yak	Yaka	-7	17.5	Bantoid	Niger-Congo	Benue-Congo	yaf
yal	Yale (Kosarek)	-4.08333333333	139.5	Mek	Trans-New Guinea		kkl
yam	Yaminahua	-8	-73	Panoan	Panoan		yaa
yan	Yana	40.5	-122	Yana	Hokan		ynn
yao	Yao (in Malawi)	-14.5	35.5	Bantoid	Niger-Congo	Benue-Congo	yao
yap	Yapese	9.58333333333	138.166666667	Yapese	Austronesian	Western Malayo-Polynesian	yap
yaq	Yaqui	27.5	-110.25	Cahita	Uto-Aztecan		yaq
yar	Yareba	-9.5	148.5	Yareban	Yareban		yrb
yav	Yavapai	34	-113.333333333	Yuman	Hokan		yuf
yaw	Yawa	-1.75	136.25	Yawa	Yawa		yva
yay	Yay	22.4166666667	104.75	Kam-Tai	Tai-Kadai		pcc
yaz	Yazgulyam	38.5	71.5	Iranian	Indo-European		yah
yba	Yamba	6.41666666667	11.0833333333	Bantoid	Niger-Congo	Benue-Congo	yam
ych	Yup'ik (Chevak)	61.5	-165.75	Eskimo	Eskimo-Aleut		esu
ycn	Yucuna	-0.75	-71	Arawakan	Arawakan		ycn
yct	Yucatec	20	-89	Mayan	Mayan		yua
ydb	Yiddish (Bessarabian)	47	28.5	Germanic	Indo-European		ydd
ydd	Yiddish	52	23	Germanic	Indo-European		ydd yih
ydl	Yiddish (Lodz)	51.75	19.4166666667	Germanic	Indo-European		ydd
yei	Yei	-7.91666666667	140.916666667	Morehead and Upper Maro Rivers	Morehead and Upper Maro Rivers		jei
yel	Yelî Dnye	-11.3666666667	154.166666667	Yele	Yele		yle
yem	Yemba	5.41666666667	10.0833333333	Bantoid	Niger-Congo	Benue-Congo	ybb
yes	Yessan-Mayo	-4.16666666667	142.583333333	Tama Sepik	Sepik		yss
yey	Yeyi	-20	23.5	Bantoid	Niger-Congo	Benue-Congo	yey
ygd	Yag Dii	8	14	Adamawa	Niger-Congo	Adamawa-Ubangi	dur
ygn	Yaghnobi	39	69	Iranian	Indo-European		yai
ygr	Yagaria	-6.33333333333	145.416666667	Eastern Highlands	Trans-New Guinea		ygr
yi	Yi	24	104	Burmese-Lolo	Sino-Tibetan	Tibeto-Burman	iii
yid	Yidiny	-17	145.75	Pama-Nyungan	Australian		yii
yil	Yil	-3.53333333333	142.15	Wapei-Palei	Torricelli		yll
yim	Yimas	-4.66666666667	143.55	Lower Sepik	Lower Sepik-Ramu		yee
yin	Yindjibarndi	-21.75	117.916666667	Pama-Nyungan	Australian		yij
yir	Yir Yiront	-14.8333333333	141.833333333	Pama-Nyungan	Australian		yiy
yki	Yuki	39.6666666667	-123.5	Yukian	Wappo-Yukian		yuk
ykm	Yakoma	4.41666666667	18.4166666667	Ubangi	Niger-Congo	Adamawa-Ubangi	yky
ykn	Yakan	6.5	122	Sama-Bajaw	Austronesian	Western Malayo-Polynesian	yka
yko	Yukaghir (Kolyma)	65.75	150.833333333	Yukaghir	Yukaghir		yux
ykp	Yukpa	10.1666666667	-72.75	Cariban	Cariban		yup
ykt	Yakut	62	130	Turkic	Altaic		sah
ylb	Yulparija	-21	124	Pama-Nyungan	Australian		mpj
yli	Yali	-4	139.333333333	Dani	Trans-New Guinea		yli
ylm	Yelmek	-7.66666666667	139.166666667	Bulaka River	Bulaka River		jel
ylt	Yiddish (Lithuanian)	55	25	Germanic	Indo-European		ydd
ymd	Yamdena	-7.5	131.5	Central Malayo-Polynesian	Austronesian		jmd
ymi	Yami	22	121.5	Northern Philippines	Austronesian	Western Malayo-Polynesian	tao
yms	Yemsa	7.83333333333	37.3333333333	North Omotic	Afro-Asiatic	Omotic	jnj
yna	Yupik (Naukan)	66	-172	Eskimo	Eskimo-Aleut		ynk
yng	Yingkarta	-25.1666666667	114.833333333	Pama-Nyungan	Australian		yia
ynk	Yankuntjatjara	-27	132	Pama-Nyungan	Australian		kdd
ynm	Yanomámi	2.33333333333	-63	Yanomam	Yanomam		wca
yns	Yansi	-3.83333333333	18	Bantoid	Niger-Congo	Benue-Congo	yns
yny	Yanyuwa	-16.4166666667	137.166666667	Pama-Nyungan	Australian		jao
yok	Yokuts (Yaudanchi)	36.0833333333	-119.083333333	Yokuts	Penutian		yok
yor	Yoruba	8	4.33333333333	Defoid	Niger-Congo	Benue-Congo	yor
ypk	Yup'ik (Central)	59.5	-160	Eskimo	Eskimo-Aleut		esu
yqy	Yaqay	-6.58333333333	139.25	Marind Proper	Marind		jaq
yrc	Yuracare	-16.5833333333	-65.25	Yuracare	Yuracare		yuz
yrm	Yurimangí	3.83333333333	-77	Yurimangí	Yurimangí		
yrr	Yaruro	7	-68	Yaruro	Yaruro		yae
yrt	Yuruti	1	-70.4166666667	Tucanoan	Tucanoan		yui
ysi	Yupik (Sirenik)	64.5	-174	Eskimo	Eskimo-Aleut		ysr
ysl	Yupik (St. Lawrence Island)	63.5	-170.5	Eskimo	Eskimo-Aleut		ess
yta	Yurt Tatar	46.3333333333	48.5	Turkic	Altaic		nog
ytu	Yukaghir (Tundra)	69	155	Yukaghir	Yukaghir		ykg
yuc	Yuchi	35.75	-86.75	Yuchi	Yuchi		yuc
yug	Yugh	61	90	Yeniseian	Yeniseian		yuu
yuk	Yukulta	-17.3333333333	138.833333333	Tangkic	Australian		gcd
yul	Yulu	8.5	25.25	Bongo-Bagirmi	Nilo-Saharan	Central Sudanic	yul
yun	Yup'ik (Norton Sound)	64	-161	Eskimo	Eskimo-Aleut		esu
yur	Yurok	41.3333333333	-124	Yurok	Algic		yur
yus	Yupik (Siberian)	65	-173	Eskimo	Eskimo-Aleut		ess
yuw	Yuwaalaraay	-29.5	148	Pama-Nyungan	Australian		kld
ywl	Yawelmani	35.4166666667	-119	Yokuts	Penutian		yok
ywr	Yawuru	-18	122.5	Nyulnyulan	Australian		ywr
yyg	Yaygir	-29.6666666667	153	Pama-Nyungan	Australian		
yyo	Yorta Yorta	-36	146	Pama-Nyungan	Australian		
yzv	Yazva	65	55	Finnic	Uralic	Finno-Ugric	kpv
zai	Zapotec (Isthmus)	16.416667	-95	Zapotecan	Oto-Manguean		zai
zaj	Zapotec (Juárez)	17.5	-96.5833333333	Zapotecan	Oto-Manguean		zaa
zam	Zapotec (Mixtepec)	16.3333333333	-96.3333333333	Zapotecan	Oto-Manguean		zpm
zan	Zande	4	26	Ubangi	Niger-Congo	Adamawa-Ubangi	zne
zap	Zapotec (Mitla)	16.8	-96.25	Zapotecan	Oto-Manguean		zaw
zaq	Zapotec (Quiegolani)	16.1666666667	-96.0833333333	Zapotecan	Oto-Manguean		zpi
zar	Zarma	13.8333333333	2.16666666667	Songhay	Nilo-Saharan		dje
zay	Zayse	5.91666666667	37.3333333333	North Omotic	Afro-Asiatic	Omotic	zay
zaz	Zazaki	39	41	Iranian	Indo-European		diq
zch	Zoque (Chimalapa)	16.75	-94.75	Mixe-Zoque	Mixe-Zoque		zoh
zen	Zenaga	17.3333333333	-16	Berber	Afro-Asiatic		zen
zfl	Zoque (Francisco León)	17.3333333333	-93.25	Mixe-Zoque	Mixe-Zoque		zos
zha	Zhang-Zhung	31.5833333333	78.4166666667	Bodic	Sino-Tibetan	Tibeto-Burman	jna
zhn	Zhuang (Northern)	24	108	Kam-Tai	Tai-Kadai		ccx
zim	Zimakani	-7.43333333333	141.433333333	Marind Proper	Marind		zik
zno	Zulu (Northern)	-28	31	Bantoid	Niger-Congo	Benue-Congo	zul
zpi	Zapotec (Ixtlan)	17.25	-96.5	Zapotecan	Oto-Manguean		zpd
zpr	Zaparo	-2	-76.3333333333	Zaparoan	Zaparoan		zro
zqc	Zoque (Copainalá)	17	-93.25	Mixe-Zoque	Mixe-Zoque		zoc
zqo	Zoque (Ostuacan)	17.4166666667	-93.3	Mixe-Zoque	Mixe-Zoque		zoc
zqr	Zoque (Rayon)	17.0833333333	-93	Mixe-Zoque	Mixe-Zoque		zor
zqs	Zoque (Soteapan)	18.3333333333	-95.1666666667	Mixe-Zoque	Mixe-Zoque		poi
zso	Zulu (Southern)	-31	30	Bantoid	Niger-Congo	Benue-Congo	zul
zsq	Zapotec (San Lucas Quiaviní)	16.9	-96.4666666667	Zapotecan	Oto-Manguean		zab
zte	Zapotec (Texmelucan)	16.5	-97.1666666667	Zapotecan	Oto-Manguean		zpz
zul	Zulu	-30	30	Bantoid	Niger-Congo	Benue-Congo	zul
zun	Zuni	35.0833333333	-108.833333333	Zuni	Zuni		zun
zya	Zapotec (Yatzachi)	17.2	-96.2	Zapotecan	Oto-Manguean		zav
zzo	Zapotec (Zoogocho)	17.25	-96.25	Zapotecan	Oto-Manguean		zpq
